populationSize, numKillRatio, mutationChance, mutationScale, numIterations, crossoverType, realCost1, realCost2, realCost3, averageCost, runTime
100, 10, 0.3, 0.5, 10, 1, 3.24907784586, 3.36981648587, 3.33142889645, 3.31677440939, 0.214401333333
100, 10, 0.3, 0.5, 10, 2, 3.30273233939, 3.32338494415, 3.26575343285, 3.2972902388, 0.215152
100, 10, 0.3, 1, 10, 1, 3.3292267169, 3.10391637048, 3.43024868904, 3.28779725881, 0.215226
100, 10, 0.3, 1, 10, 2, 3.19403022178, 3.30550674133, 3.33823701963, 3.27925799425, 0.216165666667
100, 10, 0.3, 2, 10, 1, 3.99741625888, 2.8312043686, 3.71401176516, 3.51421079755, 0.215158333333
100, 10, 0.3, 2, 10, 2, 3.19300309437, 3.5720016645, 2.99195663771, 3.25232046553, 0.215358666667
100, 10, 0.5, 0.5, 10, 1, 3.34229215558, 3.28171722601, 3.32681749473, 3.31694229211, 0.216007333333
100, 10, 0.5, 0.5, 10, 2, 3.27887931232, 3.52833304604, 3.41141015057, 3.40620750298, 0.216011666667
100, 10, 0.5, 1, 10, 1, 3.23848929916, 3.13279325651, 3.1300943063, 3.16712562065, 0.216329666667
100, 10, 0.5, 1, 10, 2, 3.08101444326, 3.30147517805, 3.32733510964, 3.23660824365, 0.216279
100, 10, 0.5, 2, 10, 1, 3.51969771224, 3.59487618418, 3.09260329788, 3.4023923981, 0.216248333333
100, 10, 0.5, 2, 10, 2, 3.0606930938, 3.08172234813, 2.97027882262, 3.03756475485, 0.216155666667
100, 10, 0.8, 0.5, 10, 1, 3.17600910106, 3.30013941882, 3.49706350367, 3.32440400785, 0.216855
100, 10, 0.8, 0.5, 10, 2, 3.40335406607, 3.37745153312, 3.20422343733, 3.32834301217, 0.217368333333
100, 10, 0.8, 1, 10, 1, 3.26478306425, 3.12562799003, 3.87076003618, 3.42039036349, 0.217229333333
100, 10, 0.8, 1, 10, 2, 2.91718572696, 3.15014592368, 3.40349420462, 3.15694195175, 0.217420666667
100, 10, 0.8, 2, 10, 1, 2.92911988744, 3.18146707016, 3.71686479675, 3.27581725145, 0.217487333333
100, 10, 0.8, 2, 10, 2, 3.72575048406, 4.65334156578, 3.25095809011, 3.87668337998, 0.217789666667
100, 3, 0.3, 0.5, 10, 1, 3.32834361656, 3.27847467665, 3.38307670187, 3.32996499836, 0.216033666667
100, 3, 0.3, 0.5, 10, 2, 3.37796223217, 3.36719613726, 3.34751809101, 3.36422548681, 0.216552
100, 3, 0.3, 1, 10, 1, 3.60805533996, 3.25183350745, 3.50791795506, 3.45593560083, 0.215640666667
100, 3, 0.3, 1, 10, 2, 3.54719827541, 2.89958637482, 3.41429690749, 3.28702718591, 0.216301666667
100, 3, 0.3, 2, 10, 1, 2.74643431542, 3.66813866807, 3.17558082479, 3.19671793609, 0.215987666667
100, 3, 0.3, 2, 10, 2, 3.15337372415, 3.29892996729, 3.32969245388, 3.26066538177, 0.216284666667
100, 3, 0.5, 0.5, 10, 1, 3.34938480206, 3.26867554994, 3.25725794428, 3.29177276543, 0.21706
100, 3, 0.5, 0.5, 10, 2, 3.33120010486, 3.29970116528, 3.34651483453, 3.32580536822, 0.217139333333
100, 3, 0.5, 1, 10, 1, 3.220144619, 3.44187691182, 3.28265392562, 3.31489181881, 0.216872
100, 3, 0.5, 1, 10, 2, 3.14973433823, 3.6528284116, 3.55802513971, 3.45352929651, 0.217
100, 3, 0.5, 2, 10, 1, 2.78902961908, 3.27870018449, 3.02051387872, 3.02941456076, 0.216743666667
100, 3, 0.5, 2, 10, 2, 3.22238891775, 3.22667175134, 3.01993478799, 3.15633181903, 0.217687333333
100, 3, 0.8, 0.5, 10, 1, 3.18115708627, 3.14862610464, 3.24955665759, 3.19311328283, 0.218539666667
100, 3, 0.8, 0.5, 10, 2, 3.53328190677, 3.21371014539, 3.3226320102, 3.35654135412, 0.218558333333
100, 3, 0.8, 1, 10, 1, 3.55740545524, 3.1518410835, 3.2949885331, 3.33474502395, 0.218118666667
100, 3, 0.8, 1, 10, 2, 3.28627306361, 3.46860957612, 3.39121059797, 3.38203107923, 0.218583333333
100, 3, 0.8, 2, 10, 1, 3.62847349814, 3.14128430414, 3.26977728226, 3.34651169485, 0.218002
100, 3, 0.8, 2, 10, 2, 3.02361694799, 3.90760201633, 3.43286212997, 3.4546936981, 0.218370666667
100, 2, 0.3, 0.5, 10, 1, 3.30059565767, 3.36543931376, 3.28407713306, 3.31670403483, 0.216619666667
100, 2, 0.3, 0.5, 10, 2, 3.37061419965, 3.38861223414, 3.1857157961, 3.3149807433, 0.216892
100, 2, 0.3, 1, 10, 1, 3.199048126, 3.04387184598, 3.31555932639, 3.18615976612, 0.216619
100, 2, 0.3, 1, 10, 2, 3.26114777651, 3.32284722859, 3.22974374084, 3.27124624864, 0.217175333333
100, 2, 0.3, 2, 10, 1, 3.22650631411, 3.2776523939, 3.25573328583, 3.25329733128, 0.216373
100, 2, 0.3, 2, 10, 2, 3.12867066198, 3.0656000875, 2.91277263881, 3.03568112943, 0.216982333333
100, 2, 0.5, 0.5, 10, 1, 3.42137122514, 3.56344201551, 3.34191888623, 3.4422440423, 0.217671
