populationSize, numKillRatio, mutationChance, mutationScale, numIterations, crossoverType, realCost1, realCost2, realCost3, averageCost, runTime
100, 10, 0.3, 0.5, 100, 1, 2.97597834771, 3.17915266057, 3.14484127874, 3.09999076234, 2.23399533333
100, 10, 0.3, 0.5, 100, 2, 3.02214785222, 3.28247675831, 3.51510988867, 3.27324483307, 2.23978533333
100, 10, 0.3, 0.5, 1000, 1, 3.49670369168, 3.59079398094, 4.24256795927, 3.77668854397, 22.1997313333
100, 10, 0.3, 0.5, 1000, 2, 3.01089712425, 3.9442214045, 3.42509943532, 3.46007265469, 22.195625
100, 10, 0.3, 1, 100, 1, 3.06426180296, 3.51697946848, 2.83052369195, 3.1372549878, 2.23916466667
100, 10, 0.3, 1, 100, 2, 3.7462787189, 3.77719253934, 3.000807895, 3.50809305108, 2.23842533333
100, 10, 0.3, 1, 1000, 1, 4.44417596502, 5.29710316693, 6.46961276757, 5.40363063317, 22.203875
100, 10, 0.3, 1, 1000, 2, 7.34728193585, 3.06049742371, 7.93317281993, 6.11365072649, 22.2254716667
100, 10, 0.3, 2, 100, 1, 3.07553109551, 3.01341258684, 2.09771186973, 2.72888518403, 2.23765
100, 10, 0.3, 2, 100, 2, 3.74670062891, 5.45596368843, 2.92607222456, 4.04291218063, 2.239774
100, 10, 0.3, 2, 1000, 1, 8.13301212509, 11.8080207925, 16.1418276282, 12.0276201819, 22.2076886667
100, 10, 0.3, 2, 1000, 2, 9.48771238759, 8.39603084953, 9.12226172538, 9.00200165417, 22.2645946667
100, 10, 0.5, 0.5, 100, 1, 2.96602636707, 3.16099430096, 3.32410604023, 3.15037556942, 2.23900233333
100, 10, 0.5, 0.5, 100, 2, 3.53724794982, 3.1093806469, 3.64716905564, 3.43126588412, 2.23792566667
100, 10, 0.5, 0.5, 1000, 1, 3.50521692407, 3.30478687633, 3.54277634215, 3.45092671419, 22.248766
100, 10, 0.5, 0.5, 1000, 2, 3.74271271928, 2.77208730782, 3.89295285698, 3.46925096136, 22.2566286667
100, 10, 0.5, 1, 100, 1, 3.91793424164, 3.88180286192, 2.31007194535, 3.36993634964, 2.23710033333
100, 10, 0.5, 1, 100, 2, 3.90754441247, 4.37240129369, 3.56429823451, 3.94808131356, 2.238567
100, 10, 0.5, 1, 1000, 1, 4.41958457247, 5.61827326259, 4.3648754052, 4.80091108009, 22.2383336667
100, 10, 0.5, 1, 1000, 2, 6.51624653609, 4.72275928469, 5.49520608588, 5.57807063555, 22.260961
100, 10, 0.5, 2, 100, 1, 4.76386435938, 6.21836969628, 4.37337074174, 5.11853493247, 2.23550066667
100, 10, 0.5, 2, 100, 2, 5.18479231509, 5.66741366897, 4.33839905956, 5.06353501454, 2.23484666667
100, 10, 0.5, 2, 1000, 1, 10.1437044222, 13.2373393659, 7.3224209739, 10.234488254, 22.260959
100, 10, 0.5, 2, 1000, 2, 8.90889587371, 10.7365581571, 13.9989229279, 11.2147923196, 22.2573083333
100, 10, 0.8, 0.5, 100, 1, 3.49239050625, 3.28557158562, 3.22100090806, 3.33298766665, 2.236764
100, 10, 0.8, 0.5, 100, 2, 2.75172693668, 3.22647789171, 3.11819180653, 3.03213221164, 2.239535
100, 10, 0.8, 0.5, 1000, 1, 4.30576030848, 6.05829482686, 5.13710573413, 5.16705362316, 22.3032406667
100, 10, 0.8, 0.5, 1000, 2, 4.65727376559, 3.5623005053, 5.6049791738, 4.60818448156, 22.3303123333
100, 10, 0.8, 1, 100, 1, 4.05398995408, 3.6032753615, 3.48143345148, 3.71289958902, 2.24110433333
100, 10, 0.8, 1, 100, 2, 3.19573181273, 3.44925698212, 3.4431086188, 3.36269913788, 2.24352733333
100, 10, 0.8, 1, 1000, 1, 6.45323343889, 7.57565716972, 6.58582320682, 6.87157127181, 22.344057
